mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,msrp
19.0,4.0,121.0,112.0,2868.0,15.5,73.0,2.0,volvo 144ea,4340.0
15.0,8.0,318.0,150.0,3399.0,11.0,73.0,1.0,dodge dart custom,2658.0
24.0,4.0,121.0,110.0,2660.0,14.0,73.0,2.0,saab 99le,4095.0
11.0,8.0,350.0,180.0,3664.0,11.0,73.0,1.0,oldsmobile omega,2777.0
20.0,6.0,198.0,95.0,3102.0,16.5,74.0,1.0,plymouth duster,2829.0
19.0,6.0,232.0,100.0,2901.0,16.0,74.0,1.0,amc hornet,2849.0
15.0,6.0,250.0,100.0,3336.0,17.0,74.0,1.0,chevrolet nova,2919.0
26.0,4.0,122.0,80.0,2451.0,16.5,74.0,1.0,ford pinto,2527.0
32.0,4.0,71.0,65.0,1836.0,21.0,74.0,3.0,toyota corolla 1200,2199.0
25.0,4.0,140.0,75.0,2542.0,17.0,74.0,1.0,chevrolet vega,2505.0
16.0,6.0,258.0,110.0,3632.0,18.0,74.0,1.0,amc matador,3699.0
18.0,6.0,225.0,105.0,3613.0,16.5,74.0,1.0,plymouth satellite sebring,3468.0
16.0,8.0,302.0,140.0,4141.0,14.0,74.0,1.0,ford gran torino,3411.0
13.0,8.0,350.0,150.0,4699.0,14.5,74.0,1.0,buick century luxus (sw),4371.0
14.0,8.0,318.0,150.0,4457.0,13.5,74.0,1.0,dodge coronet custom (sw),3882.0
14.0,8.0,302.0,140.0,4638.0,16.0,74.0,1.0,ford gran torino (sw),4017.0
14.0,8.0,304.0,150.0,4257.0,15.5,74.0,1.0,amc matador (sw),3477.0
29.0,4.0,98.0,83.0,2219.0,16.5,74.0,2.0,audi fox,3975.0
26.0,4.0,79.0,67.0,1963.0,15.5,74.0,2.0,volkswagen dasher,4100.0
26.0,4.0,97.0,78.0,2300.0,14.5,74.0,2.0,opel manta,3275.0
31.0,4.0,76.0,52.0,1649.0,16.5,74.0,3.0,toyota corona,3344.0
28.0,4.0,90.0,75.0,2125.0,14.5,74.0,1.0,dodge colt,2585.0
24.0,4.0,90.0,75.0,2108.0,15.5,74.0,2.0,fiat 128,2684.0
26.0,4.0,116.0,75.0,2246.0,14.0,74.0,2.0,fiat 124 tc,4343.0
24.0,4.0,120.0,97.0,2489.0,15.0,74.0,3.0,honda civic,2545.0
26.0,4.0,108.0,93.0,2391.0,15.5,74.0,3.0,subaru,2997.0
31.0,4.0,79.0,67.0,2000.0,16.0,74.0,2.0,fiat x1.9,4167.0
19.0,6.0,225.0,95.0,3264.0,16.0,75.0,1.0,plymouth valiant custom,3422.0
18.0,6.0,250.0,105.0,3459.0,16.0,75.0,1.0,chevrolet nova,3280.0
15.0,6.0,250.0,72.0,3432.0,21.0,75.0,1.0,mercury monarch,3892.0
15.0,6.0,250.0,72.0,3158.0,19.5,75.0,1.0,ford maverick,3025.0
16.0,8.0,400.0,170.0,4668.0,11.5,75.0,1.0,pontiac catalina,4700.0
15.0,8.0,350.0,145.0,4440.0,14.0,75.0,1.0,chevrolet bel air,4345.0
16.0,8.0,318.0,150.0,4498.0,14.5,75.0,1.0,plymouth grand fury,4565.0
14.0,8.0,351.0,148.0,4657.0,13.5,75.0,1.0,ford ltd,4753.0
17.0,6.0,231.0,110.0,3907.0,21.0,75.0,1.0,buick century,4022.0
15.0,6.0,258.0,110.0,3730.0,19.0,75.0,1.0,amc matador,3545.0
18.0,6.0,225.0,95.0,3785.0,19.0,75.0,1.0,plymouth fury,3672.0
21.0,6.0,231.0,110.0,3039.0,15.0,75.0,1.0,buick skyhawk,4173.0
20.0,8.0,262.0,110.0,3221.0,13.5,75.0,1.0,chevrolet monza 2+2,3953.0
13.0,8.0,302.0,129.0,3169.0,12.0,75.0,1.0,ford mustang ii,3801.0
29.0,4.0,97.0,75.0,2171.0,16.0,75.0,3.0,toyota corolla,2711.0
23.0,4.0,140.0,83.0,2639.0,17.0,75.0,1.0,ford pinto,2769.0
20.0,6.0,232.0,100.0,2914.0,16.0,75.0,1.0,amc gremlin,2798.0
23.0,4.0,140.0,78.0,2592.0,18.5,75.0,1.0,pontiac astro,3079.0
24.0,4.0,134.0,96.0,2702.0,13.5,75.0,3.0,toyota corona,4379.0
25.0,4.0,90.0,71.0,2223.0,16.5,75.0,2.0,volkswagen dasher,4700.0
29.0,4.0,90.0,70.0,1937.0,14.0,75.0,2.0,volkswagen rabbit,3330.0
19.0,6.0,232.0,90.0,3211.0,17.0,75.0,1.0,amc pacer,3299.0
23.0,4.0,115.0,95.0,2694.0,15.0,75.0,2.0,audi 100ls,6002.0
23.0,4.0,120.0,88.0,2957.0,17.0,75.0,2.0,peugeot 504,6330.0
22.0,4.0,121.0,98.0,2945.0,14.5,75.0,2.0,volvo 244dl,6595.0
25.0,4.0,121.0,115.0,2671.0,13.5,75.0,2.0,saab 99le,5198.0
33.0,4.0,91.0,53.0,1795.0,17.5,75.0,3.0,honda civic cvcc,3009.0
28.0,4.0,107.0,86.0,2464.0,15.5,76.0,2.0,fiat 131,4286.0
26.0,4.0,98.0,79.0,2255.0,17.7,76.0,1.0,dodge colt,3175.0
27.0,4.0,101.0,83.0,2202.0,15.3,76.0,2.0,renault 12tl,3899.0
17.5,8.0,305.0,140.0,4215.0,13.0,76.0,1.0,chevrolet chevelle malibu classic,4455.0
16.0,8.0,318.0,150.0,4190.0,13.0,76.0,1.0,dodge coronet brougham,4297.0
15.5,8.0,304.0,120.0,3962.0,13.9,76.0,1.0,amc matador,3725.0
22.0,6.0,225.0,100.0,3233.0,15.4,76.0,1.0,plymouth valiant,3276.0
22.0,6.0,250.0,105.0,3353.0,14.5,76.0,1.0,chevrolet nova,3413.0
24.0,6.0,200.0,81.0,3012.0,17.6,76.0,1.0,ford maverick,3117.0
22.5,6.0,232.0,90.0,3085.0,17.6,76.0,1.0,amc hornet,3199.0
29.0,4.0,85.0,52.0,2035.0,22.2,76.0,1.0,chevrolet chevette,2558.0
29.0,4.0,90.0,70.0,1937.0,14.2,76.0,2.0,vw rabbit,3499.0
33.0,4.0,91.0,53.0,1795.0,17.4,76.0,3.0,honda civic,2939.0
20.0,6.0,225.0,100.0,3651.0,17.7,76.0,1.0,dodge aspen se,4413.0
18.0,6.0,250.0,78.0,3574.0,21.0,76.0,1.0,ford granada ghia,4353.0
18.5,6.0,250.0,110.0,3645.0,16.2,76.0,1.0,pontiac ventura sj,3702.0
17.5,6.0,258.0,95.0,3193.0,17.8,76.0,1.0,amc pacer d/l,3499.0
29.5,4.0,97.0,71.0,1825.0,12.2,76.0,2.0,volkswagen rabbit,3499.0
28.0,4.0,97.0,75.0,2155.0,16.4,76.0,3.0,toyota corolla,2789.0
26.5,4.0,140.0,72.0,2565.0,13.6,76.0,1.0,ford pinto,3025.0
20.0,4.0,130.0,102.0,3150.0,15.7,76.0,2.0,volvo 245,7495.0
13.0,8.0,318.0,150.0,3940.0,13.2,76.0,1.0,plymouth volare premier v8,3324.0
19.0,4.0,120.0,88.0,3270.0,21.9,76.0,2.0,peugeot 504,7340.0
16.5,6.0,168.0,120.0,3820.0,16.7,76.0,2.0,mercedes-benz 280s,17124.0
16.5,8.0,350.0,180.0,4380.0,12.1,76.0,1.0,cadillac seville,12479.0
13.0,8.0,350.0,145.0,4055.0,12.0,76.0,1.0,chevy c10,5087.0
13.0,8.0,318.0,150.0,3755.0,14.0,76.0,1.0,dodge d100,3777.0
31.5,4.0,98.0,68.0,2045.0,18.5,77.0,3.0,honda accord cvcc,3299.0
36.0,4.0,79.0,58.0,1825.0,18.6,77.0,2.0,renault 5 gtl,4450.0
25.5,4.0,122.0,96.0,2300.0,15.5,77.0,1.0,plymouth arrow gs,3654.0
17.5,8.0,305.0,145.0,3880.0,12.5,77.0,1.0,chevrolet caprice classic,5307.0
17.0,8.0,260.0,110.0,4060.0,19.0,77.0,1.0,oldsmobile cutlass supreme,4825.0
15.5,8.0,318.0,145.0,4140.0,13.7,77.0,1.0,dodge monaco brougham,4408.0
15.0,8.0,302.0,130.0,4295.0,14.9,77.0,1.0,mercury cougar brougham,4990.0
17.5,6.0,250.0,110.0,3520.0,16.4,77.0,1.0,chevrolet concours,4111.0
20.5,6.0,231.0,105.0,3425.0,16.9,77.0,1.0,buick skylark,3865.0
19.0,6.0,225.0,100.0,3630.0,17.7,77.0,1.0,plymouth volare custom,3752.0
18.5,6.0,250.0,98.0,3525.0,19.0,77.0,1.0,ford granada,4209.0
16.0,8.0,400.0,180.0,4220.0,11.1,77.0,1.0,pontiac grand prix lj,5483.0
15.5,8.0,350.0,170.0,4165.0,11.4,77.0,1.0,chevrolet monte carlo landau,4968.0
15.5,8.0,400.0,190.0,4325.0,12.2,77.0,1.0,chrysler cordoba,5418.0
16.0,8.0,351.0,149.0,4335.0,14.5,77.0,1.0,ford thunderbird,5063.0
29.0,4.0,97.0,78.0,1940.0,14.5,77.0,2.0,volkswagen rabbit custom,4079.0
24.5,4.0,151.0,88.0,2740.0,16.0,77.0,1.0,pontiac sunbird coupe,3659.0
26.0,4.0,97.0,75.0,2265.0,18.2,77.0,3.0,toyota corolla liftback,3918.0
25.5,4.0,140.0,89.0,2755.0,15.8,77.0,1.0,ford mustang ii 2+2,4183.0
30.5,4.0,98.0,63.0,2051.0,17.0,77.0,1.0,chevrolet chevette,3225.0
33.5,4.0,98.0,83.0,2075.0,15.9,77.0,1.0,dodge colt m/m,2999.0
30.0,4.0,97.0,67.0,1985.0,16.4,77.0,3.0,subaru dl,3499.0
30.5,4.0,97.0,78.0,2190.0,14.1,77.0,2.0,volkswagen dasher,5399.0
21.5,4.0,121.0,110.0,2600.0,12.8,77.0,2.0,bmw 320i,7990.0
21.5,3.0,80.0,110.0,2720.0,13.5,77.0,3.0,mazda rx-4,5470.0
43.1,4.0,90.0,48.0,1985.0,21.5,78.0,2.0,volkswagen rabbit custom diesel,4699.0
32.8,4.0,78.0,52.0,1985.0,19.4,78.0,3.0,mazda glc deluxe,3145.0
36.1,4.0,91.0,60.0,1800.0,16.4,78.0,3.0,honda civic cvcc,3975.0
19.9,8.0,260.0,110.0,3365.0,15.5,78.0,1.0,oldsmobile cutlass salon brougham,4877.0
19.4,8.0,318.0,140.0,3735.0,13.2,78.0,1.0,dodge diplomat,5207.0
20.2,8.0,302.0,139.0,3570.0,12.8,78.0,1.0,mercury monarch ghia,4571.0
19.2,6.0,231.0,105.0,3535.0,19.2,78.0,1.0,pontiac phoenix lj,4399.0
20.5,6.0,200.0,95.0,3155.0,18.2,78.0,1.0,chevrolet malibu,4394.0
20.2,6.0,200.0,85.0,2965.0,15.8,78.0,1.0,ford fairmont (auto),3744.0
25.1,4.0,140.0,88.0,2720.0,15.4,78.0,1.0,ford fairmont (man),3744.0
20.5,6.0,225.0,100.0,3430.0,17.2,78.0,1.0,plymouth volare,3771.0
19.4,6.0,232.0,90.0,3210.0,17.2,78.0,1.0,amc concord,3849.0
20.6,6.0,231.0,105.0,3380.0,15.8,78.0,1.0,buick century special,4633.0
20.8,6.0,200.0,85.0,3070.0,16.7,78.0,1.0,mercury zephyr,3897.0
18.6,6.0,225.0,110.0,3620.0,18.7,78.0,1.0,dodge aspen,3911.0
18.1,6.0,258.0,120.0,3410.0,15.1,78.0,1.0,amc concord d/l,3849.0
19.2,8.0,305.0,145.0,3425.0,13.2,78.0,1.0,chevrolet monte carlo landau,4935.0
17.7,6.0,231.0,165.0,3445.0,13.4,78.0,1.0,buick regal sport coupe (turbo),5958.0
17.5,8.0,318.0,140.0,4080.0,13.7,78.0,1.0,dodge magnum xe,5509.0
30.0,4.0,98.0,68.0,2155.0,16.5,78.0,1.0,chevrolet chevette,3644.0
27.5,4.0,134.0,95.0,2560.0,14.2,78.0,3.0,toyota corona,4574.0
30.9,4.0,105.0,75.0,2230.0,14.5,78.0,1.0,dodge omni,3967.0
21.1,4.0,134.0,95.0,2515.0,14.8,78.0,3.0,toyota celica gt liftback,5889.0
23.2,4.0,156.0,105.0,2745.0,16.7,78.0,1.0,plymouth sapporo,6087.0
23.8,4.0,151.0,85.0,2855.0,17.6,78.0,1.0,oldsmobile starfire sx,4306.0
20.3,5.0,131.0,103.0,2830.0,15.9,78.0,2.0,audi 5000,8780.0
17.0,6.0,163.0,125.0,3140.0,13.6,78.0,2.0,volvo 264gl,10245.0
21.6,4.0,121.0,115.0,2795.0,15.7,78.0,2.0,saab 99gle,6298.0
16.2,6.0,163.0,133.0,3410.0,15.8,78.0,2.0,peugeot 604sl,10990.0
31.5,4.0,89.0,71.0,1990.0,14.9,78.0,2.0,volkswagen scirocco,6095.0
29.5,4.0,98.0,68.0,2135.0,16.6,78.0,3.0,honda accord lx,5965.0
21.5,6.0,231.0,115.0,3245.0,15.4,79.0,1.0,pontiac lemans v6,5301.0
19.8,6.0,200.0,85.0,2990.0,18.2,79.0,1.0,mercury zephyr 6,4888.0
22.3,4.0,140.0,88.0,2890.0,17.3,79.0,1.0,ford fairmont 4,4383.0
20.2,6.0,232.0,90.0,3265.0,18.2,79.0,1.0,amc concord dl 6,4324.0
20.6,6.0,225.0,110.0,3360.0,16.6,79.0,1.0,dodge aspen 6,4399.0
17.0,8.0,305.0,130.0,3840.0,15.4,79.0,1.0,chevrolet caprice classic,6508.0
17.6,8.0,302.0,129.0,3725.0,13.4,79.0,1.0,ford ltd landau,6686.0
16.5,8.0,351.0,138.0,3955.0,13.2,79.0,1.0,mercury grand marquis,7721.0
18.2,8.0,318.0,135.0,3830.0,15.2,79.0,1.0,dodge stregis,6847.0
16.9,8.0,350.0,155.0,4360.0,14.9,79.0,1.0,buick estate wagon (sw),7169.0
15.5,8.0,351.0,142.0,4054.0,14.3,79.0,1.0,ford country squire (sw),7006.0
19.2,8.0,267.0,125.0,3605.0,15.0,79.0,1.0,chevrolet malibu classic (sw),5480.0
18.5,8.0,360.0,150.0,3940.0,13.0,79.0,1.0,chrysler lebaron town @ country (sw),6642.0
31.9,4.0,89.0,71.0,1925.0,14.0,79.0,2.0,vw rabbit custom,4799.0
34.1,4.0,86.0,65.0,1975.0,15.2,79.0,3.0,maxda glc deluxe,3995.0
35.7,4.0,98.0,80.0,1915.0,14.4,79.0,1.0,dodge colt hatchback custom,4425.0
27.4,4.0,121.0,80.0,2670.0,15.0,79.0,1.0,amc spirit dl,4133.0
25.4,5.0,183.0,77.0,3530.0,20.1,79.0,2.0,mercedes benz 300d,21497.0
23.0,8.0,350.0,125.0,3900.0,17.4,79.0,1.0,cadillac eldorado,14668.0
27.2,4.0,141.0,71.0,3190.0,24.8,79.0,2.0,peugeot 504,8040.0
23.9,8.0,260.0,90.0,3420.0,22.2,79.0,1.0,oldsmobile cutlass salon brougham,5442.0
34.2,4.0,105.0,70.0,2200.0,13.2,79.0,1.0,plymouth horizon,4469.0
34.5,4.0,105.0,70.0,2150.0,14.9,79.0,1.0,plymouth horizon tc3,4864.0
37.3,4.0,91.0,69.0,2130.0,14.7,79.0,2.0,fiat strada custom,4496.0
28.4,4.0,151.0,90.0,2670.0,16.0,79.0,1.0,buick skylark limited,4462.0
26.8,6.0,173.0,115.0,2700.0,12.9,79.0,1.0,oldsmobile omega brougham,4582.0
33.5,4.0,151.0,90.0,2556.0,13.2,79.0,1.0,pontiac phoenix,4089.0
